artist,title
The Smile,A Light for Attracting Attention
MJ Lenderman,Boat Songs
Undeath,It's Time… To Rise From the Grave
SAULT,Air
Axel Boman,LUZ
Axel Boman,Quest for Fire
Alabaster dePlume,Gold - Go Forward in the Courage of Your Love
Soul Glo,Diaspora Problems
Aldous Harding,Warm Chris
Destroyer,Labyrinthitis
Oso Oso,Sore Thumb
Rosalía,MOTOMAMI
Charlotte Adigéry Bolis Pupul,Topical Dancer
Nilüfer Yanya,PAINLESS
Huerco S.,Plonk
Hurray for the Riff Raff,Life on Earth
Jazmine Sullivan,"Heaux Tales, Mo' Tales: The Deluxe"
yeule,Glitch Princess
Big Thief,Dragon New Warm Mountain I Believe in You
Yung Kayo,DFTK
"Black Country, New Road",Ants From Up There
Cate Le Bon,Pompeii
Animal Collective,Time Skiffs
Arca,KICK ii
Arca,KicK iii
Arca,kick iiii
Arca,kiCK iiiii
Taylor Swift,Red (Taylor's Version)
Snail Mail,Valentine
aya,im hole
The War on Drugs,I Don't Live Here Anymore
Grouper,Shade
Xenia Rubinos,Una Rosa
Wiki,Half God
Tirzah,Colourgrade
Nala Sinephro,Space 1.8
Low,Hey What
Indigo De Souza,Any Shape You Take
Turnstile,Glow On
Ka,A Martyr's Reward
L'Rain,Fatigue
"Tyler, the Creator",Call Me If You Get Lost
Faye Webster,I Know I'm Funny haha
Mach-Hommy,Pray for Haiti
Mdou Moctar,Afrique Victime
Iceage,Seek Shelter
Arooj Aftab,Vulture Prince
The Armed,ULTRAPOP
Vijay Iyer Linda May Han Oh Tyshawn Sorey,Uneasy
Spirit of the Beehive,"ENTERTAINMENT, DEATH"
Dry Cleaning,New Long Leg
Lost Girls,Menneskekollektivet
Floating Points Pharoah Sanders The London Symphony Orchestra, Promises
Cassandra Jenkins,An Overview on Phenomenal Nature
The Weather Station,Ignorance
Jazmine Sullivan,Heaux Tales
Navy Blue,Song of Sage: Post Panic!
Playboi Carti,Whole Lotta Red
Amaarae,The Angel You Don't Know
Angel Bat Dawid Tha Brothahood,LIVE
Adrianne Lenker,songs
Adrianne Lenker,instrumentals
Jay Electronica,Act II: The Patents of Nobility (The Turn)
Touché Amoré,Lament
Bartees Strange,Live Forever
Fleet Foxes,Shore
