artist,title
Huerco S.,Plonk
Suburban Lawns,Suburban Lawns
Hurray for the Riff Raff,Life on Earth
Yusuf / Cat Stevens,Harold and Maude (Original Motion Picture Soundtrack)
Jazmine Sullivan,"Heaux Tales, Mo' Tales: The Deluxe"
yeule,Glitch Princess
Hikaru Utada,BADモード
Eiko Ishibashi,Drive My Car - Original Soundtrack
Death,Symbolic
Bad Boy Chiller Crew,Disrespectful
Big Thief,Dragon New Warm Mountain I Believe in You
Yung Kayo,DFTK
Iannis Xenakis,Electroacoustic Works
"Black Country, New Road",Ants From Up There
Junglepussy,JP5000
Cate Le Bon,Pompeii
The Birthday Party,Junkyard
Animal Collective,Time Skiffs
Various Artists,"Summer of Soul (...Or, When The Revolution Could Not Be Televised) Original Motion Picture Soundtrack"
Little Brother,The Listening
Amber Mark,Three Dimensions Deep
Third Eye Blind,Third Eye Blind
Bonnie Raitt,Nick of Time
Earl Sweatshirt,Sick!
The Weeknd,Dawn FM
Neil Young,Carnegie Hall 1970
Joni Mitchell,Archives Volume 2: The Reprise Years (1968-1971)
Chief Keef,4Nem
Tarta Relena,Fiat Lux
Moses Sumney,Live From Blackalachia
Jeff Parker,Forfolks
Yukihiro Takahashi,Neuromantic
King Sunny Adé,Juju Music
David Bowie,Brilliant Adventure (1992-2001)
Mach-Hommy,Balens Cho
Arca,KICK ii
Arca,KicK iii
Arca,kick iiii
Arca,kiCK iiiii
Richard and Linda Thompson,I Want to See the Bright Lights Tonight
Wild Up,"Julius Eastman, Vol. 1: Femenine"
Omar Khorshid,Giant + Guitar
JJJJJerome Ellis,The Clearing
Diana Ross,Diana
dltzk,Frailty
Adele,30
Ichiko Aoba,Windswept Adan
Leo Nocentelli,Another Side
Master P,MP Da Last Don
Bruce Springsteen The E Street Band,The Legendary 1979 No Nukes Concerts
Rosie Lowe Duval Timothy,Son
Taylor Swift,Red (Taylor's Version)
Boz Scaggs,Silk Degrees
Bush Tetras,Rhythm and Paranoia: The Best of Bush Tetras
Dear Laika,Pluperfect Mind
R.E.M.,New Adventures in Hi-Fi (25th Anniversary Edition)
Radiohead,Kid A Mnesia
Darius Jones,Raw Demoon Alchemy (A Lone Operation)
Snail Mail,Valentine
aya,im hole
The War on Drugs,I Don't Live Here Anymore
Helado Negro,Far In
The Bush Tetras,Rhythm and Paranoia: The Best of Bush Tetras
Nick Cave & the Bad Seeds,B-Sides & Rarities (Part II)
John Coltrane,A Love Supreme: Live in Seattle
Grouper,Shade
The Clash,Combat Rock
Xenia Rubinos,Una Rosa
Anthony Naples,Chameleon
Maxo Kream,Weight of the World
The Beatles,Let It Be (Super Deluxe)
Magdalena Bay,Mercurial World
BADBADNOTGOOD,Talk Memory
Bardo Pond,Amanita (25th Anniversary Edition)
