artist,title
Show Me The Body,Trouble The Water
Dawn Richard & Spencer Zahn,Pigments
Wild Pink,ILYSM
Sorry,Anywhere But Here
,Ashley McBryde Presents: Lindeville
Makaya McCraven,In These Times
The Beths,Expert In A Dying Field
Sudan Archives,Natural Brown Prom Queen
Mo Troper,MTV
Rachika Nayar,Heaven Come Crashing
Eli Winter,Eli Winter
Panda Bear & Sonic Boom,Reset
Cheekface,Too Much To Ask
Friendship,Love The Stranger
Rico Nasty,Las Ruinas
beabadoobee,Beatopia
Party Dozen,The Real Work
Naima Bock,Giant Palm
Soccer Mommy,"Sometimes, Forever"
Bartees Strange,Farm To Table
Joyce Manor,40 Oz. To Fresno
Horsegirl,Versions Of Modern Performance
Maria BC,Hyaline
Porridge Radio,"Waterslide, Diving Board, Ladder To The Sky"
The Smile,A Light For Attracting Attention
Kikagaku Moyo,Kumoyo Island
Tomberlin,i don't know who needs to hear this​.​.​.
Spiritualized,Everything Was Beautiful
Joyride!,Miracle Question
Wet Leg,Wet Leg
PUP,THE UNRAVELING OF PUPTHEBAND
Guerilla Toss,Famously Alive
Yumi Zouma,Present Tense
Jenny Hval,Classic Objects
Nilüfer Yanya,PAINLESS
SASAMI,Squeeze
Hurray For The Riff Raff,Life On Earth
Empath,Visitor
Cate Le Bon,Pompeii
Cloakroom,Dissolution Wave
Anxious,Little Green House
Earl Sweatshirt,SICK!
The Wombats,"Fix Yourself, Not The World"
Worst Party Ever,Dartland
Michael Hurley,The Time Of The Foxgloves
Arca,KicK iii
The Chisel,Retaliation
Converge,Bloodmoon: I
IDLES,CRAWLER
Snail Mail,Valentine
Lily Konigsberg,Lily We Need To Talk Now
Maxo Kream,Weight Of The World
Xenia Rubinos,Una Rosa
The World Is A Beautiful Place & I Am No Longer Afraid To Die,Illusory Walls
Illuminati Hotties,Let Me Do One More
Ada Lea,one hand on the steering wheel the other sewing a garden
Injury Reserve,By The Time I Get To Phoenix
Low,HEY WHAT
Little Simz,Sometimes I Might Be Introvert
Turnstile,Glow On
Wolves In The Throne Room,Primordial Arcana
Wednesday,Twin Plagues
Laura Stevenson,Laura Stevenson
Torres,Thirstier
Anika,Change
Jodi,Blue Heron
The Goon Sax,Mirror II
SAULT,NINE
Lucy Dacus,Home Video
Backxwash,I Lie Here Buried With My Rings And My Dresses
Cold Cave,Fate In Seven Lessons
Japanese Breakfast,Jubilee
UV-TV,Always Something
Erika de Casier,Sensational
Sons Of Kemet,Black To The Future
"Jack Ingram, Miranda Lambert, & Jon Randall",The Marfa Tapes
Matt Sweeney & Bonnie ‘Prince' Billy,Superwolves
Remember Sports,Like A Stone
The Armed,ULTRAPOP
Damon Locks & Black Monument Ensemble,NOW
Ryley Walker,Course In Fable
serpentwithfeet,DEACON
New Pagans,"The Seed, The Vessel, The Roots And All"
Closer,Within One Stem
Bernice,Eau de Bonjourno
Nervous Dater,Call In The Mess
Katy Kirby,Cool Dry Place
Slowthai,Tyron
"Black Country, New Road",For The First Time
Portrayal Of Guilt,We Are Always Alone
Lande Hekt,Going To Hell
Shame,Drunk Tank Pink
Casper Clausen,Better Way
Paul McCartney,McCartney III
The Avalanches,We Will Always Love You
Rico Nasty,Nightmare Vacation
ME REX,Triceratops
Hypoluxo,Hypoluxo
Told Slant,Point The Flashlight And Walk
Adulkt Life,Book Of Curses
War On Women,Wonderful Hell
