artist,title
Beyoncé,Renaissance
Chat Pile,God's Country
black midi,Hellfire
Wormrot,Hiss
Viagra Boys,Cave World
Leikeli47,Shape Up
Lupe Fiasco,Drill Music in Zion
Petrol Girls,Baby
JER,Bothered / Unbothered
Artificial Brain,Artificial Brain
Gospel,The Loser
Kendrick Lamar,Mr. Morale & The Big Steppers
Otoboke Beaver,SUPER CHAMPON
Spiritualized,Everything Was Beautiful
Pusha T,It's Almost Dry
Daniel Rossen,You Belong There
billy woods,Aethiopes
Kilo Kish,American Gurl
Denzel Curry,Melt My Eyez See Your Future
Soul Glo,Diaspora Problems
Bladee & Ecco2k,Crest
Benny the Butcher,Tana Talk 4
Charlotte Adigéry & Bolis Pupul,Topical Dancer
Conway the Machine,God Don't Make Mistakes
Black Dresses,Forget Your Own Face
Beach House,Once Twice Melody
Big Thief,Dragon New Warm Mountain I Believe in You
"Black Country, New Road",Ants from Up There
Silvana Estrada,Marchita
Krallice,Crystalline Exhaustion
foxtails,fawn
FKA twigs,Caprisongs
The Weeknd,Dawn FM
death's dynamic shroud.wmv,Faith in Persona
L'Rain,Fatigue
Arca,KicK iii
Deerhoof,"Actually, You Can"
Richard Dawson & Circle,Henki
Sloppy Jane,Madison
JPEGMAFIA,LP!
James Blake,Friends That Break Your Heart
Magdalena Bay,Mercurial World
Blu,The Color Blu(e)
illuminati hotties,Let Me Do One More
Wiki,Half God
Westside Gunn,Hitler Wears Hermes 8: Side B
Sufjan Stevens & Angelo De Augustine,A Beginner's Mind
Injury Reserve,By the Time I Get to Phoenix
Low,HEY WHAT
Little Simz,Sometimes I Might Be Introvert
Turnstile,Glow On
Pink Siifu,GUMBO'!
Yola,Stand for Myself
Lingua Ignota,Sinner Get Ready
Nas,King's Disease II
Twin Shadow,Twin Shadow
Spellling,The Turning Wheel
"Tyler, the Creator",Call Me If You Get Lost
Backxwash,I Lie Here Buried with My Rings and My Dresses
black midi,Cavalcade
Panopticon,…And Again Into the Light
St. Vincent,Daddy's Home
Sematary,Rainbow Bridge 3
Porter Robinson,Nurture
Jeff Rosenstock,SKA DREAM
BROCKHAMPTON,"Roadrunner: New Light, New Machine"
"Floating Points, Pharoah Sanders & The London Symphony Orchestra",Promises
Armand Hammer & The Alchemist,Haram
Feu! Chatterton,Palais d'argile
Genesis Owusu,Smiling with No Teeth
Nick Cave & Warren Ellis,Carnage
Ad Nauseam,Imperative Imperceptible Impulse
Black Dresses,Forever in Your Heart
slowthai,TYRON
"Black Country, New Road",For the first time
Weezer,OK Human
Moor Mother & billy woods,BRASS
Jazmine Sullivan,Heaux Tales
Viagra Boys,Welfare Jazz
